state,api,date,index,volume_oil_formation_bbls,volume_gas_formation_mcf,volume_water_formation_bbls,producing_days
ND,33053026790000,2018-08-01,148,830,1629,234,31
ND,33053026790000,2018-07-01,147,917,1658,229,31
ND,33053026790000,2018-06-01,146,927,1478,232,30
ND,33053026790000,2018-05-01,145,980,1142,519,31
ND,33053026790000,2018-04-01,144,603,608,128,23
ND,33053026790000,2018-03-01,143,719,751,183,31
ND,33053026790000,2018-02-01,142,717,742,191,27
ND,33053026790000,2018-01-01,141,743,763,203,27
ND,33053026790000,2017-12-01,140,763,809,166,23
ND,33053026790000,2017-11-01,139,1044,1063,269,30
ND,33053026790000,2017-10-01,138,538,598,588,19
ND,33053026790000,2017-09-01,137,909,1151,180,30
ND,33053026790000,2017-08-01,136,938,1309,182,29
ND,33053026790000,2017-07-01,135,905,1301,210,31
ND,33053026790000,2017-06-01,134,880,1118,202,30
ND,33053026790000,2017-05-01,133,943,1100,187,31
ND,33053026790000,2017-04-01,132,967,1056,204,30
ND,33053026790000,2017-03-01,131,1002,961,236,31
ND,33053026790000,2017-02-01,130,958,903,274,28
ND,33053026790000,2017-01-01,129,611,503,171,18
ND,33053026790000,2016-12-01,128,943,1053,187,30
ND,33053026790000,2016-11-01,127,956,1038,209,30
ND,33053026790000,2016-10-01,126,969,888,227,31
ND,33053026790000,2016-09-01,125,961,800,263,30
ND,33053026790000,2016-08-01,124,1007,1033,357,31
ND,33053026790000,2016-07-01,123,1063,1062,262,31
ND,33053026790000,2016-06-01,122,911,808,259,30
ND,33053026790000,2016-05-01,121,960,901,211,31
ND,33053026790000,2016-04-01,120,1204,1229,240,30
ND,33053026790000,2016-03-01,119,1456,1064,310,31
ND,33053026790000,2016-02-01,118,393,238,91,29
ND,33053026790000,2016-01-01,117,367,233,115,29
ND,33053026790000,2015-12-01,116,1072,604,262,31
ND,33053026790000,2015-11-01,115,1048,547,235,30
ND,33053026790000,2015-10-01,114,1110,461,257,30
ND,33053026790000,2015-09-01,113,1042,409,249,30
ND,33053026790000,2015-08-01,112,1094,868,265,31
ND,33053026790000,2015-07-01,111,1034,739,329,31
ND,33053026790000,2015-06-01,110,808,475,242,30
ND,33053026790000,2015-05-01,109,825,478,221,31
ND,33053026790000,2015-04-01,108,766,608,215,30
ND,33053026790000,2015-03-01,107,1205,1268,311,31
ND,33053026790000,2015-02-01,106,983,1125,389,24
ND,33053026790000,2015-01-01,105,1030,1248,309,28
ND,33053026790000,2014-12-01,104,1192,1488,236,31
ND,33053026790000,2014-11-01,103,1184,1540,342,30
ND,33053026790000,2014-10-01,102,1173,1359,265,31
ND,33053026790000,2014-09-01,101,1178,1324,237,30
ND,33053026790000,2014-02-01,94,999,828,140,21
ND,33053026790000,2014-01-01,93,1365,1311,329,31
ND,33053026790000,2013-12-01,92,1383,1317,254,31
ND,33053026790000,2013-11-01,91,1349,1298,275,30
ND,33053026790000,2013-10-01,90,1397,1312,291,31
ND,33053026790000,2013-09-01,89,1385,1293,320,30
ND,33053026790000,2013-08-01,88,1449,1326,313,31
ND,33053026790000,2013-07-01,87,1354,1285,321,30
ND,33053026790000,2013-06-01,86,1400,1351,333,30
ND,33053026790000,2013-05-01,85,1435,1338,320,31
ND,33053026790000,2013-04-01,84,918,816,275,23
ND,33053026790000,2013-03-01,83,1606,2265,360,28
ND,33053026790000,2013-02-01,82,1734,2514,386,28
ND,33053026790000,2013-01-01,81,2080,2828,416,31
ND,33053026790000,2012-12-01,80,1626,1634,364,18
ND,33053026790000,2012-11-01,79,1884,2809,398,29
ND,33053026790000,2012-10-01,78,2066,2966,457,31
ND,33053026790000,2012-09-01,77,2101,3160,472,30
ND,33053026790000,2012-08-01,76,2282,3312,511,31
ND,33053026790000,2012-07-01,75,2386,3520,535,31
ND,33053026790000,2012-06-01,74,2510,1819,564,30
ND,33053026790000,2012-05-01,73,2807,4177,651,31
ND,33053026790000,2012-04-01,72,2912,3344,658,30
ND,33053026790000,2012-03-01,71,3289,3376,743,27
ND,33053026790000,2012-02-01,70,2982,3095,671,27
ND,33053026790000,2012-01-01,69,3327,2707,747,31
ND,33053026790000,2011-12-01,68,3823,2952,890,31
ND,33053026790000,2011-11-01,67,3500,2273,1025,22
ND,33053026790000,2011-10-01,66,2960,2179,920,27
ND,33053026790000,2011-09-01,65,4923,3311,1387,30
ND,33053026790000,2011-08-01,64,4314,1939,1917,18
ND,33053026790000,2011-07-01,63,2859,1616,1875,31
ND,33053026790000,2010-09-01,53,107,149,7,6
ND,33053026790000,2010-08-01,52,532,395,145,14
ND,33053026790000,2010-07-01,51,778,821,15,31
ND,33053026790000,2010-06-01,50,820,843,7,30
ND,33053026790000,2010-05-01,49,872,916,16,31
ND,33053026790000,2010-04-01,48,855,882,18,30
ND,33053026790000,2010-03-01,47,754,816,193,30
ND,33053026790000,2010-02-01,46,420,384,5,28
ND,33053026790000,2010-01-01,45,438,411,4,31
ND,33053026790000,2014-08-01,100,1230,1359,279,31
ND,33053026790000,2014-07-01,99,1248,1380,303,31
ND,33053026790000,2014-06-01,98,1227,1341,257,30
ND,33053026790000,2014-05-01,97,1284,1253,284,31
ND,33053026790000,2014-04-01,96,1290,1186,289,30
ND,33053026790000,2014-03-01,95,1375,1329,290,31
ND,33053027070000,2011-07-01,61,1472,260,1371,31
ND,33053027070000,2011-06-01,60,1784,580,1616,30
ND,33053027070000,2011-05-01,59,3007,570,2608,31
ND,33053027070000,2011-04-01,58,3236,637,2878,29
ND,33053027070000,2011-03-01,57,2251,520,3087,20
ND,33053027070000,2011-02-01,56,2465,200,5536,17
ND,33053027070000,2010-04-01,46,188,5,0,8
ND,33053027070000,2010-03-01,45,427,301,627,25
ND,33053027070000,2010-02-01,44,582,397,804,28
ND,33053027070000,2010-01-01,43,439,243,918,17
ND,33053027070000,2018-08-01,146,273,348,363,31
ND,33053027070000,2018-07-01,145,246,274,339,31
