api,basin_name,bazean_id,bore_profile,completion_date,county,county_id,cum_12_boe,cum_12_gas,cum_12_mcfe,cum_12_oil,cum_12_water,cum_6_boe,cum_6_gas,cum_6_mcfe,cum_6_oil,cum_6_water,cum_gas,cum_oil,cum_water,cum_mcfe,cum_boe,density,drill_elevation,external_id,field_name,first_year_decline,frac_concentration,frac_date,frac_proppant,frac_proppant_type,frac_slickwater,frac_stages,frac_supplier,frac_volume,gas_comp,ground_elevation,ip24_oil,ip24_gas,ip24_water,ip24_mcfe,ip24_boe,ip30_oil,ip30_gas,ip30_water,ip30_mcfe,ip30_boe,ip_date,kb_elevation,lateral_direction,lateral_length,latitude_bottom_hole,latitude_surface_hole,lease_id,lease_name,log_date,longitude_bottom_hole,longitude_surface_hole,max_daily_boe,max_prod_date,max_daily_mcfe,measured_depth,oil_comp,operator_name,operator_public,parent_company,perf_bottom,perf_top,permit_date,plug_date,primary_phase,prod_days,prod_months,range,region_name,reservoir_producing,reservoir_total_depth,section,spud_date,spud_ip_days,state,status,township,parent_ticker,perf_range,true_vertical_depth,well_name
33053026790000,WILLISTON,,HORIZONTAL,2006-05-27,MCKENZIE,53,28042.333333,18920,168254,24889,872,16088.5,9963,96531,14428,675,182349,187579,34857,1307823,217970.5,,,16041,MONDAK,-13.608592,,,,,,,,,0.139429,2376,225,135,10,1485,247.5,1278,640,21,8308,1384.666667,2006-06-02,2397,172.25987022,5133.89,47.6170151604,47.614881,,,,-103.965170757,-103.949469,179.871321,2011-09-01,1079.227926,15828,0.860571,SLAWSON EXPLORATION COMPANY INC,,,15828,11195,,,OIL,,139,104 W,BAKKEN,BAKKEN,,29,2010-09-20,,ND,A,148 N,,4633,10694.11,STILETTO FEDERAL  1-29H
33053027070000,WILLISTON,,HORIZONTAL,2006-07-22,MCKENZIE,53,15187.833333,6701,91127,14071,10462,4516.166667,1093,27097,4334,0,38989,71741,88842,469435,78239.166667,,,16162,MONDAK,-5.36891,,,,,,,,,0.083055,2032,82,40,0,532,88.6666666667,814,0,0,4884,814,2006-07-25,2058,31.6785829099,5103.54,47.5886610911,47.578905,,,,-103.970724327,-103.986534,109.804244,2011-04-01,658.825462,15390,0.916945,PETRO-HUNT DAKOTA LLC,,,15390,10871,,,OIL,,108,104 W,BAKKEN,BAKKEN,,6,2010-05-06,,ND,A,147 N,,4519,10286.46,KODIAK GRIZZLY  13-6H
33053027750000,WILLISTON,,HORIZONTAL,2007-08-07,MCKENZIE,53,28334.166667,8317,170005,26948,656,18025.166667,4855,108151,17216,577,91665,185541,68283,1204911,200818.5,,,16488,MONDAK,-15.598293,,,,,,,,,0.076076,2161,249,51,6,1545,257.5,2917,758,47,18260,3043.333333,2007-08-09,2180,-143.650297547,6167.43,47.5353231849,47.548118,,,,-104.029302399,-104.011916,178.924025,2012-05-01,1073.544148,16490,0.923924,SLAWSON EXPLORATION COMPANY INC,,,16490,9691,,,OIL,,122,105 W,BAKKEN,BAKKEN,,14,2010-07-29,,ND,A,147 N,,6799,10322.57,MAVERICK FEDERAL  1-14
33053030070000,WILLISTON,,HORIZONTAL,2010-01-15,MCKENZIE,53,59336.333333,45554,356018,51744,7760,5654.833333,2195,33929,5289,1582,411419,359458,101290,2568167,428027.833333,,,17978,SPOTTED HORN,,,,,,,,,,0.160199,2256,993,755,373,6713,1118.83333333,5166,2148,1582,33144,5524,2010-01-27,2280,-31.3118824428,5849,47.777112963,47.788273,,,,-102.644327536,-102.662674,1049.292266,2018-06-01,6295.753593,16730,0.839801,WPX ENERGY WILLISTON LLC,,,16730,11278,,,OIL,,97,94 W,BAKKEN,BAKKEN,,25,2009-09-15,134,ND,A,150 N,,5452,10881,NATHAN HALE  4-25H
33053030250000,WILLISTON,,HORIZONTAL,2009-11-23,MCKENZIE,53,92809.5,71115,556857,80957,11153,48586.666667,35344,291520,42696,6180,301661,291196,32886,2048837,341472.833333,,,18128,MANDAREE,-8.434186,,,,,,,,,0.147235,2303,1274,961,502,8605,1434.16666667,1890,759,1185,12099,2016.5,2009-11-23,2328,-60.6027288597,4373.14,47.7189290297,47.730785,,,,-102.644581248,-102.651261,558.094456,2010-03-01,3348.566735,15310,0.852765,WPX ENERGY WILLISTON LLC,,,15310,11254,,,OIL,,106,94 W,BAKKEN,BAKKEN,,13,2009-08-09,106,ND,A,149 N,,4056,10936.86,CROSS  2-13H
33053030480000,WILLISTON,,HORIZONTAL,2010-11-02,MCKENZIE,53,41523,21402,249138,37956,26074,27312,14898,163872,24829,19363,99525,103741,97387,721971,120328.5,,,18281,SPOTTED HORN,-1.091083,,,,,,,,,0.137852,2284,205,455,112,1685,280.833333333,8213,4928,9038,54206,9034.333333,2010-11-09,2310,-65.22507468,5001.29,47.7615031624,47.774494,,,,-102.720991288,-102.726987,296.81588,2010-11-01,1780.895277,15968,0.862148,ENERPLUS RESOURCES USA CORPORATION,,,15968,11198,,,OIL,,90,94 W,BAKKEN,BAKKEN,,33,2010-06-25,137,ND,A,150 N,,4770,10966.71,RED TIPPED ARROW  33-11H
33053030510000,WILLISTON,,HORIZONTAL,2011-09-13,MCKENZIE,53,2805,1530,16830,2550,7675,2805,1530,16830,2550,7675,8844,4569,7772,36258,6043,,,18303,ANTELOPE,,,,,,,,,,0.243919,2316,282,324,373,2016,336,1919,1152,5533,12666,2111,2011-09-18,2338,104.97738938,9550.47,47.8896323336,47.863437,,,,-102.71446594,-102.707458,72.963723,2014-02-01,437.782341,20377,0.756081,ENERPLUS RESOURCES USA CORPORATION,,,20377,11345,,2018-06-14,OIL,,5,94 W,BAKKEN,SANISH,,28,2011-05-23,118,ND,PA,151 N,,9032,10826.53,SHERWOOD  28-44H
33053030720000,WILLISTON,,HORIZONTAL,2012-02-04,MCKENZIE,53,53569,42726,321414,46448,26274,0,0,0,0,747,443325,308304,95485,2293149,382191.5,,,18419,EAGLE NEST,-7.54861,0,2012-01-26,0,,false,,,0,0.193326,2461,510,1177,1538,4237,706.166666667,0,0,747,0,0,2012-02-04,2485,86.5944346673,9372.15,47.7015262651,47.675205,,,,-102.732028663,-102.733595,740.451745,2012-04-01,4442.710472,20575,0.806674,WPX ENERGY WILLISTON LLC,,,20575,11503,,,OIL,,81,94 W,BAKKEN,BAKKEN,,32,2010-03-14,692,ND,A,149 N,,9072,11202.85,BEARSTAIL  32-29H
33053030830000,WILLISTON,,HORIZONTAL,2010-12-26,MCKENZIE,53,45549,19530,273294,42294,5422,24454.833333,11441,146729,22548,3152,173540,185707,36588,1287782,214630.333333,325.466383854,,18471,ANTELOPE,,10.81932,2018-01-22,2531803,S,false,,SLB,2808093,0.134759,2123,380,215,116,2495,415.833333333,1595,30,140,9600,1600,2011-01-04,2149,-73.2621131615,9021.1,47.9069777812,47.932405,,,,-102.657399138,-102.665046,609.319644,2018-07-01,3655.917864,19823,0.865241,MARATHON OIL COMPANY,,,19823,12044,,,OIL,,84,94 W,BAKKEN,SANISH,,2,2009-12-17,383,ND,A,151 N,,7779,10801.9,HUNTS ALONG USA   12-1H
33053031170000,WILLISTON,,HORIZONTAL,2010-07-26,MCKENZIE,53,60144,69546,360864,48553,11590,37092.166667,44539,222553,29669,7205,241282,152884,46793,1158586,193097.666667,,,18708,NORTH FORK,-7.743851,,,,,,,,,0.208256,2345,977,1979,549,7841,1306.83333333,2364,3429,0,17613,2935.5,2010-07-27,2374,-86.3260916718,9701.41,47.7326865621,47.760081,,,,-103.031230008,-103.032989,339.400411,2010-10-01,2036.402464,20735,0.791744,ABRAXAS PETROLEUM CORP,,,20735,11280,,,OIL,,85,97 W,BAKKEN,BAKKEN,,1,2010-03-26,123,ND,A,149 N,,9455,11033.59,YELLOWSTONE  31-1H
